,X,Y,Z
438,30.35,36.82,-13.11
439,30.35,36.82,-13.11
440,30.35,36.82,-13.11
441,30.35,36.82,-13.11
442,30.35,36.82,-13.11
443,30.93,37.11,-12.87
444,30.93,37.11,-12.87
445,30.93,37.11,-12.87
446,30.93,37.11,-12.87
447,30.93,37.11,-12.87
448,30.93,37.11,-12.87
449,30.68,37.6,-11.88
450,30.68,37.6,-11.88
451,30.68,37.6,-11.88
452,30.68,37.6,-11.88
453,30.68,37.6,-11.88
454,30.4,37.54,-11.8
455,30.4,37.54,-11.8
456,30.4,37.54,-11.8
457,30.4,37.54,-11.8
458,30.4,37.54,-11.8
459,30.4,37.54,-11.8
460,30.52,37.44,-11.56
461,30.52,37.44,-11.56
462,30.52,37.44,-11.56
463,30.52,37.44,-11.56
464,30.52,37.44,-11.56
465,30.52,37.44,-11.56
466,30.58,37.04,-13.1
467,30.58,37.04,-13.1
468,30.58,37.04,-13.1
469,30.58,37.04,-13.1
470,30.58,37.04,-13.1
471,30.58,37.04,-13.1
472,29.96,38.22,-12.37
473,29.96,38.22,-12.37
474,29.96,38.22,-12.37
475,29.96,38.22,-12.37
476,29.96,38.22,-12.37
477,30.11,37.7,-11.96
478,30.11,37.7,-11.96
479,30.11,37.7,-11.96
480,30.11,37.7,-11.96
481,30.32,38.1,-11.38
482,30.32,38.1,-11.38
483,30.32,38.1,-11.38
484,30.32,38.1,-11.38
485,30.32,38.1,-11.38
486,30.09,38.59,-10.88
487,30.09,38.59,-10.88
488,30.09,38.59,-10.88
489,30.09,38.59,-10.88
490,30.09,38.59,-10.88
491,30.09,38.59,-10.88
492,30.3,38.44,-11.93
493,30.3,38.44,-11.93
494,30.3,38.44,-11.93
495,30.3,38.44,-11.93
496,30.3,38.44,-11.93
497,29.7,37.83,-12.61
498,29.7,37.83,-12.61
499,31.15,-30.38,-7.53
500,31.26,-30.04,-7.52
501,31.26,-30.04,-7.52
502,31.26,-30.04,-7.52
503,31.26,-30.04,-7.52
504,31.26,-30.04,-7.52
505,31.26,-30.04,-7.52
506,30.69,-29.52,-6.31
507,30.69,-29.52,-6.31
508,30.69,-29.52,-6.31
509,30.69,-29.52,-6.31
510,30.69,-29.52,-6.31
511,30.69,-29.52,-6.31
512,30.96,-29.91,-6.03
513,30.96,-29.91,-6.03
514,30.96,-29.91,-6.03
515,30.96,-29.91,-6.03
516,30.96,-29.91,-6.03
517,31.37,-30.04,-6.86
518,31.37,-30.04,-6.86
519,31.37,-30.04,-6.86
520,31.37,-30.04,-6.86
521,31.37,-30.04,-6.86
522,31.37,-30.04,-6.86
523,31.46,-29.39,-6.3
524,31.46,-29.39,-6.3
525,31.46,-29.39,-6.3
526,31.46,-29.39,-6.3
527,31.46,-29.39,-6.3
528,31.46,-29.39,-6.3
529,30.99,-29.7,-7.28
530,30.99,-29.7,-7.28
531,30.99,-29.7,-7.28
532,30.99,-29.7,-7.28
533,30.99,-29.7,-7.28
534,31.13,-29.63,-6.6
535,31.13,-29.63,-6.6
536,31.13,-29.63,-6.6
537,31.13,-29.63,-6.6
538,31.13,-29.63,-6.6
539,31.13,-29.63,-6.6
540,30.54,-29.52,-6.67
541,30.54,-29.52,-6.67
542,30.54,-29.52,-6.67
543,30.54,-29.52,-6.67
544,30.54,-29.52,-6.67
545,30.54,-29.52,-6.67
546,30.97,-29.26,-7.2
547,30.97,-29.26,-7.2
548,30.97,-29.26,-7.2
549,30.97,-29.26,-7.2
550,30.97,-29.26,-7.2
551,30.97,-29.82,-7.43
552,30.82,-29.82,-7.43
553,30.82,-29.82,-7.43
554,30.82,-29.82,-7.43
555,30.82,-29.82,-7.43
556,30.82,-29.82,-7.43
557,30.4,-29.6,-7.62
558,30.4,-29.6,-7.62
559,30.4,-29.6,-7.62
560,30.4,-29.6,-7.62
561,30.4,-29.6,-7.62
562,30.4,-29.6,-7.62
563,30.66,-29.33,-8.13
564,30.66,-29.33,-8.13
565,30.66,-29.33,-8.13
566,30.66,-29.33,-8.13
567,30.66,-29.33,-8.13
568,31.16,-30.03,-7.46
569,31.16,-30.03,-7.46
570,31.16,-30.03,-7.46
571,31.16,-30.03,-7.46
572,31.16,-30.03,-7.46
573,31.16,-30.03,-7.46
574,30.7,-29.59,-6.88
575,30.7,-29.59,-6.88
576,30.7,-29.59,-6.88
577,30.7,-29.59,-6.88
578,30.7,-29.59,-6.88
579,30.7,-29.59,-6.88
580,31.37,-29.98,-6.49
581,31.37,-29.98,-6.49
582,31.37,-29.98,-6.49
583,30.96,-29.74,-7.24
584,30.96,-29.74,-7.24
585,30.96,-29.74,-7.24
586,30.96,-29.74,-7.24
587,31.04,-29.68,-6.42
588,31.04,-29.68,-6.42
589,31.04,-29.68,-6.42
590,31.04,-29.68,-6.42
591,31.04,-29.68,-6.42
592,31.04,-29.68,-6.42
593,31.2,-29.47,-7.13
594,31.2,-29.47,-7.13
595,31.2,-29.47,-7.13
596,31.2,-29.47,-7.13
